Incident number,From AI Failures list?,Start date,End date (if known),Type of harm,Culturally specific?,Uncertain whether this is an incident?,Short description of scenario,Scale of harm (# of harmed),Harmed party,Harm caused,Response or mitigation (as time allows),Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,Link 7,Link 8,Link 9,Link 10,Link 11,Link 12,Link 13,Link 14,Link 15,Link 16,Link 17,Link 18,Link 19,Link 20,Link 21,Link 22,Link 23,Link 24,Link 25,Link 26,Link 27,Link 28,Link 29,Link 30
1,Y,"May 19, 2015",Present,,,,YouTube Kids app contains “inappropriate content”,Large,YouTube Kids users,Mental harm from exposure to inappropriate jokes and content,New parental controls where parents can finetune selection of channels,https://blogs.wsj.com/digits/2015/05/19/googles-youtube-kids-app-criticized-for-inappropriate-content/,https://www.dailymail.co.uk/sciencetech/article-5358365/YouTube-Kids-app-showing-disturbing-videos.html,https://www.nytimes.com/2018/04/25/business/media/youtube-kids-parental-controls.html,https://www.businessinsider.com/youtube-suggested-conspiracy-videos-to-children-using-its-kids-app-2018-3,https://www.change.org/p/remove-youtube-kids-app-until-it-eliminates-its-inappropriate-content,https://www.wired.co.uk/article/youtube-for-kids-videos-problems-algorithm-recommend,https://www.theverge.com/2017/11/9/16629788/youtube-kids-distrubing-inappropriate-flag-age-restrict,https://techcrunch.com/2017/11/12/i-watched-1000-hours-of-youtube-kids-content-and-this-is-what-happened/,https://studybreaks.com/tvfilm/youtube-kids-isnt-innocent-seems/,https://www.bbc.com/news/blogs-trending-39381889,https://www.today.com/parents/moms-warn-disturbing-video-found-youtube-kids-please-be-careful-t101552,https://www.businessinsider.com/youtube-has-thousands-of-disturbing-videos-targeted-at-kids-report-2017-11,https://www.polygon.com/2017/12/8/16737556/youtube-kids-video-inappropriate-superhero-disney,https://www.goodmorningamerica.com/family/story/parents-inappropriate-content-youtube-54993637,https://arstechnica.com/gadgets/2017/11/youtube-to-crack-down-on-inappropriate-content-masked-as-kids-cartoons/,,,,,,,,,,,,,,,
2,Y,12/6/2018,,,,,24 Amazon workers sent to hospital after robot accidentally unleashes bear spray,Large,Amazon workers,"Fifty-four workers experienced difficulty breathing and burning in the throat in eyes after being exposed to the concentrated spray, officials said.",,https://abcnews.go.com/US/24-amazon-workers-hospital-bear-repellent-accident/story?id=59625712,https://www.marketwatch.com/story/southwest-replaced-flight-control-sensors-of-the-kind-implicated-in-lion-air-crash-2018-11-16,https://www.wired.com/story/amazon-first-bear-repellent-accident/,https://www.bbc.com/news/world-us-canada-46468719,https://www.popularmechanics.com/technology/infrastructure/a25414009/amazon-warehouse-bear-spray-accident/,https://www.tennessean.com/story/news/2018/12/06/amazon-bear-spray-accident-robot-error/2229903002/,https://www.washingtonpost.com/business/2018/12/05/dozens-amazon-workers-sickened-after-bear-repellent-accidentally-discharged-warehouse/?noredirect=on&utm_term=.0001fedc3ea0,https://www.foxbusiness.com/retail/amazon-bear-repellent-accident-this-week-wasnt-its-first,https://www.theguardian.com/technology/2018/dec/06/24-us-amazon-workers-hospitalised-after-robot-sets-off-bear-repellent,https://www.nj.com/mercer/2018/12/osha-investigates-amazon-warehouse-bear-spray-accident-that-left-worker-critical.html,https://www.nj.com/mercer/2018/12/80-workers-at-amazon-warehouse-in-nj-treated-after-being-sickened-by-bear-repellant.html#incart_river_index,https://www.msn.com/en-ie/news/techandscience/robots-bear-spray-accident-puts-24-amazon-workers-in-hospital/ar-BBQzRNq,http://www.digitaljournal.com/business/amazon-bear-repellent-accident-sends-24-workers-to-the-hospital/article/538549,https://www.app.com/story/money/business/main-street/2018/12/05/bear-spray-incident-nj-amazon-warehouse-shines-light-safety-record/2215515002/,https://www.independent.co.uk/news/world/americas/us-politics/amazon-bear-repellent-new-jersey-hospital-workers-a8669381.html,https://motherboard.vice.com/en_us/article/qvqe85/24-amazon-workers-hospitalized-after-robot-punctures-bear-spray-in-warehouse,http://www.newser.com/story/268206/bear-repellent-accident-sickens-amazon-workers.html,https://www.usatoday.com/story/money/business/2018/12/05/amazon-warehouse-nj-accident-shines-light-companys-safety-record/2216715002/,https://www.nbcphiladelphia.com/news/local/Amazon-Warehouse-Robbinsville-Sickened-Workers-501976671.html,,,,,,,,,,,
3,Y,10/27/2018,,,,,Lion Air - a computerized system Boeing installed on its latest generation of 737 to prevent the plane’s nose from getting too high and causing a stall instead forced the nose down because of incorrect information it was receiving from sensors on the fuselage.,Large,Passengers,189 deaths,Boeing issued a bulletin to advise airlines how to take back manual control,https://www.nytimes.com/2018/11/27/world/asia/indonesia-lion-air-crash-.html,https://www.businesstimes.com.sg/transport/faulty-lion-air-sensor-wasn%E2%80%99t-fixed-before-crash-preliminary-report-finds,https://www.reuters.com/article/indonesia-crash-boeing/boeing-issues-bulletin-for-pilots-after-lion-air-sensor-data-error-idUSB9N1X603X,http://time.com/5441004/lion-air-jet-sensor-failure/,https://www.marketwatch.com/story/southwest-replaced-flight-control-sensors-of-the-kind-implicated-in-lion-air-crash-2018-11-16,https://www.forbes.com/sites/jeremybogaisky/2018/11/08/crash-of-lion-air-737-max-raises-questions-about-autopilot-and-pilot-skills/#133731448477,https://www.popularmechanics.com/flight/airlines/a24841961/sensor-replaced-one-day-before-lion-air-flight-jh-160-crash/,https://edition.cnn.com/2018/11/08/asia/lion-air-sensor-replaced-intl/index.html,https://www.apnews.com/4cf97e9b0a004cf5a0db401bb1d222e1,https://www.courthousenews.com/report-faults-safety-failures-defects-in-lion-air-crash/,https://www.seattletimes.com/business/boeing-aerospace/black-box-data-reveals-lion-air-pilots-struggle-against-boeings-737-max-flight-control-system/,https://www.usatoday.com/story/opinion/2018/12/04/lion-air-what-weve-got-here-failure-communicate-editorials-debates/2192044002/,https://www.nzherald.co.nz/business/news/article.cfm?c_id=3&objectid=12151363,https://www.abc.net.au/news/2018-11-08/lion-air-flight-had-crucial-sensor-replaced-prior-to-fatal-crash/10475468,https://www.insurancejournal.com/news/international/2018/11/08/507060.htm,https://news.cgtn.com/news/3d3d674e3163444e30457a6333566d54/share_p.html,https://www.iafrica.com/lion-air-plane-crash-crucial-angle-of-attack-sensor-replaced-before-crash/,https://www.mercurynews.com/2018/11/28/report-lion-air-pilots-unable-to-correct-faulty-sensor/,,,,,,,,,,,,
4,N,March 2018,,,,,"Uber self-driving car killed a pedestrian in Arizona, US.",,Pedestrian,1 death,Uber shut down autonomous driving operations for about a year,https://www.azcentral.com/story/news/local/tempe-breaking/2018/06/21/uber-self-driving-car-crash-tempe-police-elaine-herzberg/724344002/,https://www.theverge.com/2018/6/22/17492320/safety-driver-self-driving-uber-crash-hulu-police-report,https://www.abc15.com/news/region-southeast-valley/tempe/tempe-police-release-new-video-from-deadly-self-driving-uber-crash,https://gizmodo.com/uber-driver-in-fatal-tempe-crash-may-have-been-watching-1827039127,https://money.cnn.com/2018/06/22/technology/uber-self-driving-crash-police-report/index.html,https://techcrunch.com/2018/06/22/uber-safety-driver-of-fatal-self-driving-crash-was-watching-hulu-not-the-road/,https://www.economist.com/the-economist-explains/2018/05/29/why-ubers-self-driving-car-killed-a-pedestrian,https://www.citylab.com/transportation/2018/05/behind-the-uber-self-driving-car-crash-a-failure-to-communicate/561230/,https://www.theguardian.com/technology/2018/mar/19/uber-self-driving-car-kills-woman-arizona-tempe,https://www.cbsnews.com/news/uber-ends-self-driving-car-arizona-after-tempe-fatal-crash-elaine-herzberg/,https://www.forbes.com/sites/meriameberboucha/2018/05/28/uber-self-driving-car-crash-what-really-happened/#5bc866e94dc4,https://www.cnbc.com/2018/06/22/uber-driver-streamed-the-voice-before-self-driving-car-crash.html,https://www.reuters.com/article/us-uber-selfdriving-crash/uber-cars-safety-driver-streamed-tv-show-before-fatal-crash-police-idUSKBN1JI0LB,https://arstechnica.com/tech-policy/2018/05/report-software-bug-led-to-death-in-ubers-self-driving-crash/,https://www.straitstimes.com/world/united-states/uber-operator-watching-the-voice-before-self-driving-crash-in-tempe-arizona,https://www.cnet.com/roadshow/news/uber-reportedly-finds-false-positive-self-driving-car-accident/,https://www.cnet.com/news/uber-reportedly-settles-with-family-of-victim-self-driving-car-crash/,https://www.cnet.com/news/uber-self-driving-car-fatality-in-arizona-has-people-asking-how-safe-are-driverless-cars/,https://www.cnet.com/roadshow/news/uber-autonomous-car-crash-arizona-tempe/,,,,,,,,,,,
5,N,2000,2013,,,,"In a MIT study of medical surgeries using robotic systems, it was found that there were still a substantial amount of complications.",Large,Patients,"144 deaths (1.4% of the 10,624 reports), 1,391 patient injuries (13.1%), and 8,061 device malfunctions (75.9%) were reported",,https://arxiv.org/ftp/arxiv/papers/1507/1507.03518.pdf,https://www.technologyreview.com/s/539521/robotic-surgery-linked-to-144-deaths-since-2000/,https://www.bbc.com/news/technology-33609495,https://www.theregister.co.uk/2015/07/21/robot_surgery_kills_americans/,https://www.nbcnews.com/tech/tech-news/robotic-surgery-linked-144-deaths-2000-n395811,https://gizmodo.com/robotic-surgery-has-been-connected-to-144-u-s-deaths-s-1719202166,https://io9.gizmodo.com/botched-robotic-surgeries-have-been-linked-to-144-patie-1719265629,https://www.researchgate.net/publication/280062076_Adverse_Events_in_Robotic_Surgery_A_Retrospective_Study_of_14_Years_of_FDA_Data,https://splinternews.com/robotic-surgery-may-be-the-future-but-right-now-it-s-c-1793849328,https://www.techtimes.com/articles/70761/20150721/study-finds-non-negligible-number-complications-during-robotic-surgery-144.htm,https://physicstoday.scitation.org/do/10.1063/PT.5.029056/full/,https://www.christiantoday.com/article/robotic-surgeries-are-they-really-safe/59860.htm,,,,,,,,,,,,,,,,,,
6,N,2016,,,,,Microsoft chatbot (Tay) expressed Nazi sentiments,,Microsoft/ internet users,"PR disaster, and emotional offence",Taken offline after 16 hours,https://www.infoworld.com/article/3184205/technology-business/danger-danger-10-alarming-examples-of-ai-gone-wild.html#slide2,https://techcrunch.com/2016/03/24/microsoft-silences-its-new-a-i-bot-tay-after-twitter-users-teach-it-racism/,https://www.theverge.com/2016/3/24/11297050/tay-microsoft-chatbot-racist,https://chatbotslife.com/the-accountability-of-ai-case-study-microsofts-tay-experiment-ad577015181f,https://www.geekwire.com/2016/microsoft-chatbot-tay-mit-technology-fails/,https://www.telegraph.co.uk/technology/2016/03/24/microsofts-teen-girl-ai-turns-into-a-hitler-loving-sex-robot-wit/,https://www.techrepublic.com/article/why-microsofts-tay-ai-bot-went-wrong/,https://qz.com/1340990/microsofts-politically-correct-chat-bot-is-even-worse-than-its-racist-one/,https://qz.com/653084/microsofts-disastrous-tay-experiment-shows-the-hidden-dangers-of-ai/,https://gizmodo.com/here-are-the-microsoft-twitter-bot-s-craziest-racist-ra-1766820160,https://gizmodo.com/here-are-the-microsoft-twitter-bot-s-craziest-racist-ra-1766820160,https://www.businessnewsdaily.com/10450-funniest-chatbot-fails.html,https://blog.botego.com/why-microsoft-s-chatbot-tay-failed-and-what-does-it-mean-for-artificial-intelligence-studies-fb71d22e8359,https://www.theguardian.com/technology/2016/mar/30/microsoft-racist-sexist-chatbot-twitter-drugs,https://www.theguardian.com/technology/2016/mar/26/microsoft-deeply-sorry-for-offensive-tweets-by-ai-chatbot,https://www.inverse.com/article/25723-how-microsofts-tay-nazi-artificial-intelligence,https://www.inverse.com/article/13281-5-big-questions-about-tay-microsoft-s-failed-a-i-twitter-chatbot,https://www.wired.co.uk/article/microsoft-zo-ai-chatbot-tay,https://www.wired.com/2016/03/fault-microsofts-teen-ai-turned-jerk/,http://fortune.com/longform/ai-bias-problem/,https://www.bbc.com/news/technology-35902104,https://www.washingtonpost.com/news/the-intersect/wp/2016/03/24/the-internet-turned-tay-microsofts-fun-millennial-ai-bot-into-a-genocidal-maniac/?utm_term=.488066f12daf,https://futureoflife.org/2016/03/27/tay-the-racist-chatbot-who-is-responsible-when-a-machine-learns-to-be-evil/,https://medium.com/@carolinesinders/microsoft-s-tay-is-an-example-of-bad-design-d4e65bb2569f,https://www.businessinsider.com/microsoft-deletes-racist-genocidal-tweets-from-ai-chatbot-tay-2016-3,https://www.thedrum.com/news/2016/03/24/microsofts-artificial-twitter-bot-stunt-backfires-trolls-teach-it-racist-statements,,,,
7,N,2001,2010,,,,Wiki bots engage in feuds among themselves,,Wikipedia users,Constant variation in information,,https://www.infoworld.com/article/3184205/technology-business/danger-danger-10-alarming-examples-of-ai-gone-wild.html#slide3,https://www.popsci.com/wikipedia-bots-fighting,https://www.seeker.com/wiki-bots-that-feud-for-years-highlight-the-troubled-future-of-ai-2291186353.html,https://www.theguardian.com/technology/2017/feb/23/wikipedia-bot-editing-war-study,https://www.wired.com/2017/03/internet-bots-fight-theyre-human/,https://blog.wikimedia.org/2017/08/30/wikipedia-bot-pocalypse/,https://www.huffingtonpost.com.au/2017/02/27/automated-wikipedia-edit-bots-have-been-fighting-each-other-for_a_21722577/,https://www.theregister.co.uk/2017/02/23/wiki_bots_love_online_conflict/,https://www.turing.ac.uk/news/computer-bots-are-more-humans-you-might-think-having-fights-lasting-years,,,,,,,,,,,,,,,,,,,,,
8,N,Late 2016,,,,,Uber car runs a red light without regulatory approval,,Road users,Potential traffic accident,,https://www.infoworld.com/article/3184205/technology-business/danger-danger-10-alarming-examples-of-ai-gone-wild.html#slide4,https://www.theverge.com/2017/2/25/14737374/uber-self-driving-car-red-light-december-contrary-company-claims,http://fortune.com/2017/02/26/uber-self-driving-car-red-lights/,https://www.wired.com/2016/12/ubers-self-driving-car-ran-red-light-san-francisco/,https://futurism.com/ubers-self-driving-cars-are-running-red-lights-ubers-blaming-human-error,https://www.bizjournals.com/sanfrancisco/news/2017/02/27/uber-self-driving-cars-ran-at-least-six-red-lights.html,https://www.theguardian.com/technology/2016/dec/21/witness-says-self-driving-uber-ran-red-light-on-its-own-disputing-ubers-claims,https://www.cnet.com/news/uber-self-driving-car/,http://www.thedrive.com/tech/7908/ubers-autonomous-vehicles-responsible-for-red-light-violations-not-human-error,https://medium.com/halting-problem/uber-denounces-traffic-light-laws-after-self-driving-car-runs-red-light-2c8d02e30162,https://techcrunch.com/2016/12/14/uber-looking-into-incident-of-self-driving-car-running-a-red-light-captured-on-dashcam/,http://www.sfexaminer.com/investigation-uber-red-light-running-car-fault-technology-not-driver/,,,,,,,,,,,,,,,,,,
9,Y,2010,,,,,"Regression model used to grade the “value-add” a teacher imparts on their students (and used in public-school tenure decisions) is demonstrated to produce completely uncorrelated scores when the same teacher teaches two versions of the same class in the same year, indicating that the model has learned virtually nothing",,"Teachers (unfairly rated), students (impacted by teachers)","Teachers were unfairly rated, and students were learning from suboptimally compensated teachers.",,http://garyrubinstein.teachforus.org/2012/02/28/analyzing-released-nyc-value-added-data-part-2/,https://www.washingtonpost.com/news/answer-sheet/wp/2015/08/09/master-teacher-suing-new-york-state-over-ineffective-rating-is-going-to-court/?utm_term=.afb4a2d4450e,https://www.washingtonpost.com/news/answer-sheet/wp/2015/08/09/master-teacher-suing-new-york-state-over-ineffective-rating-is-going-to-court/?utm_term=.afb4a2d4450e,https://www.cityandstateny.com/articles/policy/education/new-york-teachers-judged-by-test-scores-they-dont-affect.html,http://parentadvocates.org/nicecontent/dsp_printable.cfm?articleID=6016,https://www.huffingtonpost.com/2012/02/24/new-york-city-teacher-rat_n_1299837.html,http://www.shankerinstitute.org/blog/reign-error-publication-teacher-data-reports-new-york-city,https://www.politico.com/states/new-york/albany/story/2013/10/teachers-plan-widespread-appeals-of-unfair-evaluations-000000,,,,,,,,,,,,,,,,,,,,,,
10,Y,2014,,,,,"Starbucks shift-scheduling software for part-time workers, which optimizes for efficient allocation of workers according to hour-by-hour business needs, assigns workers to unpredictable and erratic schedules.",,Workers,Negative effects on sleep patterns and relationships,,https://www.nytimes.com/interactive/2014/08/13/us/starbucks-workers-scheduling-hours.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
