"Case_Number","id","court","number","link"
"1","1","State: Wisconsin Supreme Court","2015AP157–CR","https://wscca.wicourts.gov/caseDetails.do?caseNo=2015AP000157"
"1","2","Federal: Supreme Court","No. 16-6387","https://www.supremecourt.gov/Search.aspx?FileName=/docketfiles/16-6387.htm"
"2","3","Federal: Dist Ct., W.D. Wisconsin","18-cv-555-jdp","https://www.courtlistener.com/docket/7457980/henderson-titus-v-steinsberg-dean/"
"3","4","Federal: 4th Circuit Court of Appeals","No. 18-4233","https://www.courtlistener.com/docket/6338801/united-states-v-curry/"
"4","5","State: Nassau County, New York Supreme Court","0605904/2019","https://iapps.courts.state.ny.us/webcivil/FCASSearch"
"5","6","Federal: District Court Idaho","1:12-cv-00022","https://www.courtlistener.com/docket/4247428/k-w-v-armstrong/"
"6","7","State: SUPERIOR COURT OF THE DISTRICT OF COLUMBIA
FAMILY COURT—JUVENILE & NEGLECT BRANCH
In the Matter of: * 2017 DEL","redacted","https://eaccess.dccourts.gov/eaccess/search.page.3.4?x=LKOInSzFp8iz7gUzruLENw"
"7","8","International: Federal Court","2015 FC 1093, 343 C.R.R. (2d) 15",""
"7","9","International: Federal Court of Appeal","File No.: 37233.

10/12/2017",""
"7","10","International: Supreme Court","Case No. 37233","https://scc-csc.lexum.com/scc-csc/scc-csc/en/item/17133/index.do"
"8","11","State: Claims Court","",""
"8","12","State: Court of Appeals","330 Mich. App. 545 (Mich. Ct. App. 2019)
950 N.W.2d 446","https://casetext.com/case/bauserman-v-unemployment-ins-agency-5"
"8","13","Michigan Supreme Court
Lansing, State: Michigan","","https://courts.michigan.gov/Courts/MichiganSupremeCourt/Clerks/Recent%20Opinions/18-19-Term-Opinions/156389.pdf"
"9","14","Federal: District Court, S.D. California","3:19-cv-02407","https://www.courtlistener.com/docket/16596963/parsa-v-google-llc/"
"10","15","Federal: District Court of Massachusetts","1:19-cv-12242","https://www.courtlistener.com/docket/16407892/american-civil-liberties-union-v-united-states-department-of-justice/"
"13","16","Federal: District Court, E.D. Louisiana","2:19-cv-01304","https://www.courtlistener.com/docket/14548641/bertuccelli-v-universal-city-studios-llc/"
"14","17","Federal: District Court, N.D. Illinois, Eastern Division","1:19-cv-04311","https://www.courtlistener.com/docket/15841645/dinerstein-v-google-llc/"
"15","18","State: Arkansas Circuit Court Pulaski County","","https://caseinfonew.arcourts.gov/pls/apexpcc/f?p=313:15:127219878910374::NO:RP:P15_CASE_ID,P15_SHOW_RESULTS,P15_NUM,P15_SEALED:60CV-17-442,Y,1,1&cs=32Jd5YrwIwmiWx3CUHEOC5irI6Wk"
"15","19","State: Supreme Court","","https://caseinfonew.arcourts.gov/pls/apexpcc/f?p=313:15:127219878910374::NO:RP:P15_CASE_ID,P15_SHOW_RESULTS,P15_NUM,P15_SEALED:CV-17-183,Y,1,1&cs=3aZGLUc-i_AijweB4Zm5H--IKP4g"
"15","20","State: Supreme Court","","https://caseinfonew.arcourts.gov/pls/apexpcc/f?p=313:15:127219878910374::NO:RP:P15_CASE_ID,P15_SHOW_RESULTS,P15_NUM,P15_SEALED:CV-18-639,Y,1,1&cs=3bMwMDd4kVf1Ftjx5PSxs_aR6DDA"
"16","21","State: Oregon District Court","6:17-cv-00564","https://www.pacermonitor.com/public/case/21113793/CS_et_al_v_Saiki_et_al"
"17","22","Federal: District Court, S.D. Texas","(4:14-cv-01189)","https://www.courtlistener.com/docket/6059688/houston-federation-of-teachers-local-2415-v-houston-independent-school/"
"18","23","State: Criminal Court of Orleans Parish Louisiana -  NO. 516-272","No. 516272",""
"18","24","Federal: District Court, E.D. Louisiana","2:17-mc-17369","https://www.courtlistener.com/docket/15009143/louisiana-state-v-hickerson/"
"19","25","State: Florida First District Court of Appeals","1D16-3290","http://onlinedocketsdca.flcourts.org/DCAResults/CaseDocket?Searchtype=Case+Number&Court=1&CaseYear=2016&CaseNumber=3290"
"19","26","State: Florida Supreme Court","SC19-298","http://onlinedocketssc.flcourts.org/DocketResults/LTCases?CaseNumber=298&CaseYear=2019"
"20","27","Federal: Court of Appeals for the Sixth Circuit","15-1390","https://www.courtlistener.com/opinion/4251251/walter-barry-v-nick-lyon/"
"21","28","State: Hudson Cty","17-07-0470",""
"21","29","State: N.J. Super. Ct. App. Div.","A-4207-19T4","https://www.courtlistener.com/opinion/4853195/state-of-new-jersey-vs-corey-pickett-17-07-0470-hudson-county-and/?"
"22","30","Federal: District Court, S.D. New York","","https://www.courtlistener.com/docket/6346604/national-fair-housing-alliance-v-facebook-inc/"
"23","31","Federal: District Court, S.D. New York","1:20-cv-03104","https://www.courtlistener.com/docket/17078742/burke-v-clearview-ai-inc/"
"24","32","Federal: District Court, S.D. New York","1:20-cv-03481","https://www.courtlistener.com/docket/17126996/john-v-clearview-ai-inc/"
"25","33","Federal: District Court, N.D. California","Case No. 20-cv-02926-SVK","https://www.courtlistener.com/docket/17109047/umeda-v-tesla-inc/"
"26","34","State: Circuit Court of the Ninth Judicial Circuit, In and For Orange County, Florida.","Civ. No. 80052957

UCN #482018CA011812A001OX","https://myeclerk.myorangeclerk.com/CaseDetails?caseId=10765166&caseIdEnc=x2ZHI63f5ReWpaluwtlYMQRR%2BL6sO9SAOfwuuJ5PkM3WqcoiSarAlXz2R1Ym9NpOG8ng1dl%2BnvIuxatoHml1Jl2xbDsGDFQoa3lnaUoJSvk%3D"
"27","35","Federal: District Court, N.D. California","","https://www.courtlistener.com/docket/6280461/nilsson-v-general-motors-llc/"
"29","36","Federal: District Court, N.D. Illinois","1:20-cv-512-SC","https://www.courtlistener.com/docket/16741495/mutnick-v-clearview-ai-inc/"
"28","37","Federal: District Court, N.D. Illinois","1:20-cv-04589","https://www.courtlistener.com/docket/17428602/carmine-v-macys-retail-holdings-inc/"
"30","38","Federal: District Court, S.D. New York","1:20-cv-1296-CM","https://www.courtlistener.com/docket/16844205/calderon-v-clearview-ai-inc/"
