Entity ID 1,Entity Name 1,Entity ID 2,Entity Name 2,Similarity
unknown-ai-image-generator-technology-developers,"Unknown AI image generator technology developers",unknown-ai-image-generator-technology-developer,"Unknown AI image generator technology developer",98.82
unspecified-large-language-model-developers,"Unspecified large language model developers",unspecified-large-language-model-developer,"Unspecified large language model developer",98.55
unknown-deepfake-technology-creators,"Unknown deepfake technology creators",unknown-deepfake-technology-creator,"Unknown deepfake technology creator",98.51
unknown-deepfake-technology-developers,"Unknown deepfake technology developers",unknown-deepfake-technology-developer,"Unknown deepfake technology developer",98.46
unknown-ai-voice-cloning-developer,"Unknown AI voice cloning developer",unknown-ai-voice-cloning-developers,"Unknown AI voice cloning developers",98.46
unknown-large-language-model-developers,"Unknown large language model developers",unknown-large-language-model-developer,"Unknown large language model developer",98.41
unspecified-large-language-models,"Unspecified large language models",unspecified-large-language-model,"Unspecified large language model",98.18
unknown-chatbot-developer,"Unknown chatbot developer",unknown-chatbot-developers,"Unknown chatbot developers",97.96
unknown-ai-image-generators,"Unknown AI image generators",unknown-ai-image-generator,"Unknown AI image generator",97.96
unnamed-deepfake-creators,"Unnamed deepfake creators",unnamed-deepfake-creator,"Unnamed deepfake creator",97.87
unknown-deepfake-creator,"Unknown deepfake creator",unknown-deepfake-creators,"Unknown deepfake creators",97.87
unknown-large-language-models,"Unknown large language models",unknown-large-language-model,"Unknown large language model",97.87
unknown-deepfake-tool,"Unknown deepfake tool",unknown-deepfake-tools,"Unknown deepfake tools",97.56
mount-sinai-hospitals,"Mount Sinai Hospitals",mount-sinai-hospital,"Mount Sinai Hospital",97.44
unnamed-male-students,"Unnamed male students",unnamed-male-student,"Unnamed male student",97.44
unknown-deepfake-app,"Unknown deepfake app",unknown-deepfake-apps,"Unknown deepfake apps",97.44
unknown-tiktok-user,"Unknown TikTok user",unknown-tiktok-users,"Unknown TikTok users",97.30
unknown-twitter-users,"Unknown Twitter users",unknown-twitter-user,"Unknown Twitter user",97.30
volodymyr-zelenskyy,"Volodymyr Zelenskyy",volodymyr-zelensky,"Volodymyr Zelensky",97.14
finland-national-bureau-of-investigation,"Finland National Bureau of Investigation",findland-national-bureau-of-investigation,"Findland National Bureau of Investigation",96.88
unknown-scammers,"Unknown scammers",unknown-scammer,"Unknown scammer",96.55
cruise-vehicles,"Cruise vehicles",cruise-vehicle,"Cruise vehicle",96.30
university-of-north-carolina-at-wilmington,"University of North Carolina at Wilmington",university-of-north-carolina-wilmington,"University of North Carolina Wilmington",96.10
extortionists,"Extortionists",sextortionists,"Sextortionists",96.00
residents-of-brookdale-facilities,"Residents of Brookdale facilities",families-of-residents-of-brookdale-facilities,"Families of residents of Brookdale facilities",95.38
randal-reid,"Randal Reid",randall-reid,"Randall Reid",95.24
ai-overviews,"AI Overviews",ai-overview,"AI Overview",95.24
female-facebook-users,"female Facebook users",male-facebook-users,"male Facebook users",94.74
iphone-face-id-users,"iPhone Face ID users",iphone-x-face-id-users,"iPhone X Face ID users",94.74
government,"Government",governments,"Governments",94.74
tiktok-young-users,"TikTok young users",young-tiktok-users,"young TikTok users",94.12
chatgpt-4,"ChatGPT 4",chatgpt-4o,"ChatGPT 4o",94.12
deepfake-generation-tools,"Deepfake generation tools",ai-deepfake-generation-tools,"AI deepfake generation tools",94.12
members-of-racial-minorities-who-may-have-experienced-the-same-result,"Members of racial minorities who may have experienced the same result",racial-minorities-who-may-have-experienced-the-same-result,"Racial minorities who may have experienced the same result",93.58
motorist,"Motorist",motorists,"Motorists",93.33
yoon-suk-yeol-campaign,"Yoon Suk-yeol Campaign",yoon-suk-yeol-campaign-team,"Yoon Suk-yeol campaign team",93.33
unknown-image-generator,"Unknown image generator",unknown-ai-image-generator,"Unknown AI image generator",93.33
students-of-corinth-school-district-in-mississippi,"Students of Corinth School District in Mississippi",families-of-students-of-corinth-school-district-in-mississippi,"Families of students of Corinth School District in Mississippi",93.18
unknown-deepfake-technology-developers,"Unknown deepfake technology developers",unknown-deepfake-detection-technology-developers,"Unknown deepfake detection technology developers",92.96
llmjacking-attackers-exploiting-laravel-2024,"LLMjacking Attackers Exploiting Laravel 2024",llmjacking-attackers-exploiting-laravel,"LLMjacking Attackers Exploiting Laravel",92.96
unnamed-victims-in-almendralego,"Unnamed victims in Almendralego",unnamed-victims-in-almendralejo,"Unnamed victims in Almendralejo",92.86
unknown-sydney-high-school-student,"Unknown Sydney high school student",unknown-sydney-area-high-school-student,"Unknown Sydney area high school student",92.54
university-of-illinois-students-of-color,"University of Illinois students of color",university-of-illinois-students,"University of Illinois students",92.31
unnamed-male-college-student,"unnamed male college student",unnamed-female-college-student,"unnamed female college student",92.31
center-for-geopolitical-expertise,"Center for Geopolitical Expertise",center-for-geopolitical-expertise-(cge),"Center for Geopolitical Expertise (CGE)",92.06
mcdonald's-customers,"McDonald's customers",mcdonalds-customers,"McDonalds Customers",91.89
gmail's-spam-filter,"Gmail's spam filter",gmx-mail's-spam-filter,"GMX Mail's spam filter",91.89
geisel-school-of-medicine's-accused-students,"Geisel School of Medicine's accused students",geisel-school-of-medicine's-students,"Geisel School of Medicine's students",91.67
japanese-generative-ai-companies,"Japanese generative AI companies",generative-ai-companies,"Generative AI companies",91.67
rite-customers-who-were-women,"Rite customers who were women",rite-aid-customers-who-were-women,"Rite Aid customers who were women",91.67
uk-ets-test-takers,"UK ETS test takers",uk-ets-past-test-takers,"UK ETS past test takers",91.43
unknown-deepfake-technology-developer,"Unknown deepfake technology developer",unknown-deepfake-detection-technology-developers,"Unknown deepfake detection technology developers",91.43
unknown-image-generator,"Unknown image generator",unknown-ai-image-generators,"Unknown AI image generators",91.30
alaska-educational-policymakers,"Alaska educational policymakers",alaskan-education-policymakers,"Alaskan education policymakers",91.23
j.f.-(adolescent-user-of-character.ai),"J.F. (adolescent user of Character.ai)",family-of-j.f.-(adolescent-user-of-character.ai),"Family of J.F. (adolescent user of Character.ai)",91.14
unnamed-south-gyeongsang-province-produce-distribution-center,"Unnamed South Gyeongsang province produce distribution center",unnamed-employee-of-south-gyeongsang-province-produce-distribution-center,"Unnamed employee of South Gyeongsang province produce distribution center",91.07
yoon-suk-yeol-campaign,"Yoon Suk-yeol Campaign",yoon-suk-yeol's-campaign,"Yoon Suk-yeol's campaign",90.91
new-york-city-police-department,"New York City Police Department",new-york-police-department,"New York Police Department",90.91
unknown-traffic-enforcement-camera-technology-developer,"Unknown traffic enforcement camera technology developer",unknown-traffic-enforcement-camera-technology,"Unknown traffic enforcement camera technology",90.70
guo-(surname-of-deepfake-scam-victim),"Guo (surname of deepfake scam victim)",friend-of-guo-(surname-of-deepfake-scam-victim),"Friend of Guo (surname of deepfake scam victim)",90.67
call-centers-in-the-philippines,"Call centers in the Philippines",call-center-workers-in-the-philippines,"Call center workers in the Philippines",90.63
albanians-in-the-united-kingdom,"Albanians in the United Kingdom",romanians-in-the-united-kingdom,"Romanians in the United Kingdom",90.57
tiktok-user-@e.news.tv,"TikTok user @e.news.tv",tiktok-user-@d.news.tv,"TikTok user  @d.news.tv",90.48
unnamed-male-students,"Unnamed male students",unnamed-female-students,"Unnamed female students",90.48
department-for-work-and-pensions,"Department for Work and Pensions",department-for-work-and-pensions-(dwp),"Department for Work and Pensions (DWP)",90.32
gladstone-park-secondary-college-students,"Gladstone Park Secondary College students",gladstone-park-secondary-college,"Gladstone Park Secondary College",90.32
hingham-high-school-student-rnh,"Hingham High School student RNH",hingham-high-school-students,"Hingham High School students",90.20
gmail-users,"Gmail Users",email-users,"email users",90.00
women-using-lensa-ai,"women using Lensa AI",asian-women-using-lensa-ai,"Asian women using Lensa AI",90.00
content-moderation-systems,"Content moderation systems",amazon-content-moderation-systems,"Amazon content moderation systems",89.80
general-public,"General public",uk-general-public,"UK general public",89.66
traffic-participants,"traffic participants",city-traffic-participants,"city traffic participants",89.47
facebook-messenger,"Facebook Messenger",facebook-messenger-users,"Facebook Messenger users",89.47
richmond-burton-community-high-school,"Richmond-Burton Community High School",richmond-burton-community-high-school-students,"Richmond-Burton Community High School students",89.47
department-of-families-fairness-and-housing,"Department of Families Fairness and Housing",employee-of-department-of-families-fairness-and-housing,"Employee of Department of Families Fairness and Housing",89.41
youtube-content-creators,"YouTube content creators",youtube-chess-content-creators,"YouTube chess content creators",89.36
unknown-deepfake-tools,"Unknown deepfake tools",unknown-deepfake-csam-tools,"Unknown deepfake CSAM tools",89.36
houston-independent-school-district-teachers,"Houston Independent School District teachers",houston-independent-school-district,"Houston Independent School District",89.23
women-depicted-in-deepfake-pornography,"Women depicted in deepfake pornography",minors-depicted-in-deepfake-pornography,"Minors depicted in deepfake pornography",89.23
united-states-department-of-education,"United States Department of Education",united-states-department-of-education-employees,"United States Department of Education employees",89.19
waverley-college-(sydney-australia),"Waverley College (Sydney, Australia)",waverley-college-(sydney-australia)-students,"Waverley College (Sydney, Australia) students",89.19
waverley-college-(sydney-australia),"Waverley College (Sydney, Australia)",waverley-college-(sydney-australia)-teachers,"Waverley College (Sydney, Australia) teachers",89.19
u.s.-department-of-housing-and-urban-development,"U.S. Department of Housing and Urban Development",department-of-housing-and-urban-development-(hud),"Department of Housing and Urban Development (HUD)",89.16
youtube-male-users,"YouTube male users",youtube-young-male-users,"YouTube young male users",88.89
youtube-young-users,"YouTube young users",youtube-young-male-users,"YouTube young male users",88.89
american-patients,"American patients",african-american-patients,"African-American patients",88.89
non-cheating-students,"non-cheating students",cheating-students,"cheating students",88.89
fuzhou-zhongfang-marlboro-mall,"Fuzhou Zhongfang Marlboro Mall",fuzhou-zhongfang-marlboro-mall-goers,"Fuzhou Zhongfang Marlboro Mall goers",88.89
spanish-ministry-of-interior,"Spanish Ministry  of  Interior",spanish-interior-ministry,"Spanish Interior Ministry",88.89
gpt-4,"GPT-4",gpt-4o,"GPT-4o",88.89
unknown-ai-developers,"Unknown AI developers",unknown-developer,"Unknown developer",88.89
cybercriminals,"Cybercriminals",cyber-criminals,"Cyber criminals",88.89
unknown-developer,"Unknown developer",unknown-llm-developer,"Unknown LLM developer",88.89
xide-county-in-sichuan-residents,"Xide County in Sichuan residents",muli-county-in-sichuan-residents,"Muli County in Sichuan residents",88.89
shang-moumou,"Shang Moumou",zhang-moumou,"Zhang Moumou",88.89
victims-of-deepfake-abuse,"Victims of deepfake abuse",victims-of-deepfake-child-abuse,"Victims of deepfake child abuse",88.89
inflection-pi,"Inflection Pi",inflection-ai-pi,"Inflection AI Pi",88.89
unspecified-large-language-model-developer,"Unspecified large language model developer",unspecified-large-language-model,"Unspecified large language model",88.52
violet-(coochie-doctor-trend),"Violet (Coochie Doctor trend)",creator-of-violet-(coochie-doctor-trend),"Creator of Violet (Coochie Doctor trend)",88.52
pti-(pakistan-tehreek-e-insaf),"PTI (Pakistan Tehreek-e-Insaf)",pakistan-tehreek-e-insaf,"Pakistan Tehreek-e-Insaf",88.46
